rank,cbsa,name,core_name,state,population,vintage
90,37340,"Palm Bay-Melbourne-Titusville, FL Metro Area",Palm Bay-Melbourne-Titusville,FL,658447,2024
91,45060,"Syracuse, NY Metro Area",Syracuse,NY,655189,2024
92,12260,"Augusta-Richmond County, GA-SC Metro Area",Augusta-Richmond County,GA-SC,636760,2024
93,20500,"Durham-Chapel Hill, NC Metro Area",Durham-Chapel Hill,NC,620522,2024
94,25420,"Harrisburg-Carlisle, PA Metro Area",Harrisburg-Carlisle,PA,615361,2024
95,27140,"Jackson, MS Metro Area",Jackson,MS,606178,2024
96,22220,"Fayetteville-Springdale-Rogers, AR Metro Area",Fayetteville-Springdale-Rogers,AR,605615,2024
97,44060,"Spokane-Spokane Valley, WA Metro Area",Spokane-Spokane Valley,WA,604962,2024
98,45780,"Toledo, OH Metro Area",Toledo,OH,601396,2024
99,16860,"Chattanooga, TN-GA Metro Area",Chattanooga,TN-GA,588050,2024
100,35300,"New Haven, CT Metro Area",New Haven,CT,576718,2024
